,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
74,74,-51.333333333333336,2022-03-08 21:18:27.984796,2022-03-08 21:19:10.997795,0 days 00:00:43.012999,64,0.1,0.0003878437692828306,0.9,0.9999,0.00010310762027435942,1.0,10,2048,0.9071310487069812,PRUNED
75,75,-49.666666666666664,2022-03-08 21:19:26.694797,2022-03-08 21:20:38.078795,0 days 00:01:11.383998,32,0.4,0.0002626373457588978,0.99,0.9999,0.000270209990261456,0.3,1,512,0.8060161423808653,PRUNED
76,76,-58.333333333333336,2022-03-08 21:19:26.711796,2022-03-08 21:20:37.841796,0 days 00:01:11.130000,32,0.4,0.0002571124820440795,0.99,0.9999,0.00025623892111617216,0.3,1,512,0.5773406812087006,PRUNED
77,77,-45.0,2022-03-08 21:19:26.714809,2022-03-08 21:20:34.385796,0 days 00:01:07.670987,32,0.4,0.00026827611764086,0.99,0.9999,0.0002676663681372886,0.3,1,512,0.8588539381211457,PRUNED
78,78,-45.0,2022-03-08 21:20:34.386795,2022-03-08 21:23:32.113796,0 days 00:02:57.727001,32,0.4,0.0005945303964219442,0.98,0.995,0.0005031211809342878,0.3,1,256,0.7974174411727947,COMPLETE
79,79,-55.666666666666664,2022-03-08 21:20:37.842796,2022-03-08 21:21:15.670796,0 days 00:00:37.828000,512,0.4,0.0004439312727070952,0.98,0.995,0.0003728712027123923,2.0,1,256,0.8075678880658662,PRUNED
80,80,-48.0,2022-03-08 21:20:38.079795,2022-03-08 21:21:15.993795,0 days 00:00:37.914000,512,0.4,0.0005938530368476257,0.98,0.995,0.00012243438070334565,2.0,1,256,0.999859982927794,PRUNED
81,81,-56.666666666666664,2022-03-08 21:21:15.671797,2022-03-08 21:21:54.255796,0 days 00:00:38.583999,256,0.2,0.0005856329339717,1.0,0.99,0.0006799336450854118,0.9,10,1024,0.9378561600796049,PRUNED
82,82,-52.333333333333336,2022-03-08 21:21:15.995795,2022-03-08 21:21:54.619798,0 days 00:00:38.624003,256,0.2,0.000350035361845415,1.0,0.99,0.0005181954559916318,0.9,10,1024,0.949831166242382,PRUNED
83,83,-61.666666666666664,2022-03-08 21:21:54.257796,2022-03-08 21:22:47.947796,0 days 00:00:53.690000,64,0.2,0.0003456694867343786,0.8,0.95,0.00048017193314987475,1.0,10,64,0.8615563988006374,PRUNED
84,84,-49.666666666666664,2022-03-08 21:21:54.620795,2022-03-08 21:23:52.022796,0 days 00:01:57.402001,64,0.2,0.0004328715068583714,0.8,0.95,6.22094633023574e-05,1.0,10,64,0.8760393270611377,COMPLETE
85,85,-48.666666666666664,2022-03-08 21:22:47.949796,2022-03-08 21:23:37.962796,0 days 00:00:50.013000,64,0.2,0.0004353738292222971,0.99,0.95,6.407928628911842e-05,1.0,1,2048,0.723817606417791,PRUNED
