#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
33,7,25.062493
33,3,25.062493
29,2,25.062493
31,9,25.093743
27,2,25.093743
35,7,25.109367
33,3,25.124993
29,2,25.124993
30,8,25.140618
27,3,25.156249
28,5,25.171868
35,7,25.187492
25,1,25.187492
25,1,25.187492
37,3,25.203118
29,2,25.203118
32,12,25.23437
-13,16,25.281244
41,3,25.281244
27,3,25.29687
27,3,25.29687
26,13,25.328118
25,6,25.343744
44,9,25.359369
25,1,25.374993
31,8,25.390616
25,1,25.390616
36,4,25.406242
26,4,26.103534
3,10,26.11916
2,11,26.150408
25,2,26.166035
38,9,26.181659
38,7,26.197285
25,1,26.197285
-5,10,26.228534
25,1,26.228534
29,2,26.244159
27,2,26.244159
25,1,26.244159
45,10,26.275409
22,8,26.291034
28,3,26.306659
25,1,26.306659
25,1,26.306659
31,3,26.306659
34,10,26.337915
33,7,26.353539
-14,13,26.384784
25,1,26.384784
34,5,26.400411
35,9,26.431659
37,4,26.431659
25,1,26.431659
33,4,26.447287
36,11,26.478533
28,7,26.494159
29,2,26.494159
35,11,26.525408
25,2,26.525408
42,7,26.541036
36,6,26.556657
27,2,26.572284
41,12,26.587907
41,5,26.603534
25,2,26.603534
29,2,26.619157
33,11,26.634783
25,1,26.650407
31,3,26.650407
28,4,26.666032
29,3,26.666032
29,2,26.666032
34,5,26.681659
29,2,26.681659
32,4,26.697284
33,3,26.712907
27,2,26.712907
37,5,26.728534
4,7,27.431657
29,6,27.447284
-12,25,27.525407
25,2,27.525407
28,5,27.541038
31,4,27.541038
29,2,27.556659
36,6,27.572284
27,2,27.572284
25,15,27.619159
31,9,27.634782
33,6,27.650409
38,6,27.666035
27,3,27.681659
25,5,27.697282
25,1,27.697282
28,4,27.712909
30,8,27.728534
29,3,27.728534
27,2,27.744159
26,4,27.744159
30,6,27.77541
25,1,27.77541
48,7,27.791034
29,2,27.791034
35,4,27.80666
25,1,27.80666
43,10,27.83791
32,7,27.853533
29,8,27.86916
29,3,27.86916
40,10,27.900408
33,4,27.900408
36,7,27.916034
33,7,27.947283
39,6,27.96291
29,2,27.96291
39,7,27.978534
38,6,27.994159
29,7,28.009784
34,7,28.025409
25,1,28.041033
31,9,28.056659
45,4,28.072284
31,6,28.087909
28,13,28.916035
29,2,28.916035
25,1,28.916035
29,2,28.93166
30,11,28.96291
37,5,28.978535
29,14,29.025408
25,1,29.025408
29,3,29.041034
40,4,29.056659
34,10,29.087908
37,2,29.103534
29,2,29.103534
27,3,29.119159
25,1,29.119159
34,8,29.15041
-3,6,29.166035
41,7,29.181658
36,6,29.197285
27,3,29.212907
31,3,29.228532
32,4,29.228532
38,9,29.259783
28,4,29.27541
27,2,29.27541
29,2,29.291033
34,8,29.306659
40,4,29.322285
26,12,29.40041
