#{"t_start": 1646848340.6345458, "env_id": "wordle-v0"}
r,l,t
-22,30,139.919052
29,30,139.951051
-2,30,140.044062
-16,30,140.081057
18,30,140.125053
-3,30,140.162051
14,30,140.196051
32,30,140.233051
42,30,140.267052
-33,30,140.301051
-13,30,140.337051
-16,30,140.375052
-40,30,140.411051
6,30,140.44705
14,30,140.482051
7,30,140.51505
-9,30,140.54705
-13,30,140.581052
-17,30,140.615051
-23,30,140.64905
-5,30,146.59705
-5,30,146.63405
-39,30,146.670051
29,30,146.72705
-14,30,146.76405
-28,30,146.793051
-14,30,146.82205
5,30,146.85205
6,30,146.88105
21,30,146.91305
11,30,146.94605
14,30,146.976051
24,30,147.00805
12,30,147.04105
-43,30,147.07405
8,30,147.107051
-25,30,147.14005
9,30,147.169051
-19,30,147.202053
-23,30,147.230051
-31,30,147.263051
-9,30,147.292051
21,30,147.32105
20,30,147.354051
-20,30,147.384049
23,30,147.418051
33,30,147.44805
-16,30,147.47705
13,30,147.510051
4,30,147.542051
-37,30,147.57105
-32,30,147.604051
-19,30,147.63605
-3,30,147.667051
30,30,147.69605
13,30,147.728051
9,30,147.773051
-9,30,147.802049
14,30,147.83205
11,30,147.863051
24,30,147.893052
-34,30,147.92405
-2,30,147.95405
-9,30,147.98705
26,30,148.020051
1,30,148.053056
9,30,148.084051
-13,30,148.11305
-16,30,148.14305
26,30,148.17305
-14,30,148.20005
-12,30,148.230052
-28,30,148.26305
-16,30,148.295051
-12,30,148.326051
-1,30,148.353051
-6,30,148.38505
-7,30,148.418051
-10,30,148.444051
-9,30,148.47605
16,30,148.50805
-29,30,148.53905
11,30,148.572052
-15,30,148.60205
-5,30,148.634056
40,30,148.675051
-31,30,148.707051
10,30,148.73705
22,30,154.07105
-26,30,154.125051
-14,30,154.161051
-9,30,154.199051
26,30,154.24405
2,30,154.277051
11,30,154.308051
23,30,154.33905
-36,30,154.36805
-17,30,154.39805
-9,30,154.427051
25,30,154.455051
-33,30,154.48105
0,30,154.510051
-38,30,154.542051
26,30,154.57105
2,30,154.60005
-7,30,154.63005
9,30,154.65605
19,30,154.68505
-23,30,154.715051
3,30,154.745051
14,30,154.772051
