,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
56,56,-2.0,2022-03-07 01:10:45.360689,2022-03-07 01:11:25.540908,0 days 00:00:40.180219,512,0.2,0.00028362459341956116,0.9,0.995,0.00012708668859376957,0.7,5,512,0.434188289311334,COMPLETE
57,57,6.333333333333333,2022-03-07 01:11:25.540908,2022-03-07 01:12:24.051183,0 days 00:00:58.510275,32,0.3,0.00011746893676995861,0.99,0.9999,5.193759628225608e-05,1.0,20,256,0.8314767727089389,PRUNED
58,58,1.0,2022-03-07 01:12:24.051183,2022-03-07 01:12:50.967368,0 days 00:00:26.916185,64,0.2,0.00040998334475026983,0.95,0.999,3.0506011290207768e-05,2.0,10,2048,0.2740964815001612,PRUNED
59,59,4.666666666666667,2022-03-07 01:12:50.967368,2022-03-07 01:13:28.633674,0 days 00:00:37.666306,256,0.4,0.00017403284676498017,0.8,0.995,1.5084273323439848e-05,0.9,1,256,0.00756446952599904,COMPLETE
60,60,5.666666666666667,2022-03-07 01:13:29.664919,2022-03-07 01:14:20.736694,0 days 00:00:51.071775,32,0.2,0.0007836351667569893,0.99,0.999,0.00048129266833160157,0.5,20,2048,0.7547358658181991,PRUNED
61,61,0.3333333333333333,2022-03-07 01:14:20.736694,2022-03-07 01:14:47.629477,0 days 00:00:26.892783,64,0.4,0.0039613939080375225,0.92,0.999,0.0009320286166893436,0.7,10,2048,0.6228293721969886,PRUNED
62,62,6.666666666666667,2022-03-07 01:14:47.645107,2022-03-07 01:15:14.594100,0 days 00:00:26.948993,64,0.4,0.0066795562340340574,0.92,0.999,0.0007867297517198222,0.7,10,2048,0.5807042901633495,PRUNED
63,63,7.0,2022-03-07 01:15:14.594100,2022-03-07 01:15:41.558547,0 days 00:00:26.964447,64,0.4,0.002674472835517259,0.92,0.999,8.217967893838399e-05,0.7,10,2048,0.8691900147609519,PRUNED
64,64,11.333333333333334,2022-03-07 01:15:41.558547,2022-03-07 01:16:08.356806,0 days 00:00:26.798259,64,0.4,0.0019602338099389926,0.92,0.995,0.0006096223361186816,0.3,10,2048,0.9074587174082644,PRUNED
65,65,1.0,2022-03-07 01:16:08.356806,2022-03-07 01:16:29.581326,0 days 00:00:21.224520,128,0.3,0.0002295916074937058,1.0,0.999,0.0001954074871491559,1.0,5,256,0.6609088074873478,PRUNED
66,66,8.333333333333334,2022-03-07 01:16:29.581326,2022-03-07 01:17:10.821677,0 days 00:00:41.240351,64,0.2,0.005241313008706197,0.95,0.995,0.0007081129145450609,5.0,20,128,0.7319334469384537,PRUNED
67,67,10.666666666666666,2022-03-07 01:17:10.821677,2022-03-07 01:17:34.599338,0 days 00:00:23.777661,256,0.1,0.0006387134523105467,0.99,0.9,0.00037577862329512754,0.3,10,1024,0.11095131861698532,PRUNED
68,68,13.0,2022-03-07 01:17:34.599338,2022-03-07 01:18:32.690606,0 days 00:00:58.091268,32,0.2,0.0005294212832539849,0.92,0.99,6.92189173682971e-05,0.7,20,2048,0.7748926283029379,PRUNED
69,69,,2022-03-07 01:18:32.690606,,,128,0.1,0.0008869394652823553,0.99,0.999,0.00014777725304907316,0.3,10,256,0.07140559867536382,RUNNING
70,70,,2022-03-07 01:20:30.363735,,,128,0.1,0.00031795134970079736,0.99,0.999,0.00014596950103757989,0.3,10,256,0.07079755999109792,RUNNING
71,71,10.666666666666666,2022-03-07 02:19:22.730777,2022-03-07 02:19:49.758525,0 days 00:00:27.027748,128,0.1,0.00030104692940700027,0.99,0.999,0.0001636922809070118,0.3,10,256,0.07601073918705019,PRUNED
72,72,6.0,2022-03-07 02:19:49.758525,2022-03-07 02:20:14.402087,0 days 00:00:24.643562,256,0.4,0.00041357416096945537,0.95,0.995,9.854363757308227e-05,1.0,5,64,0.14639446578632467,PRUNED
73,73,9.666666666666666,2022-03-07 02:20:14.402087,2022-03-07 02:20:41.153402,0 days 00:00:26.751315,128,0.1,0.00036858416269710425,0.9,0.99,2.1436748761189982e-05,0.7,10,256,0.7053877124129135,PRUNED
74,74,-3.0,2022-03-07 02:20:41.153402,2022-03-07 02:21:06.419816,0 days 00:00:25.266414,128,0.1,0.00024049458133319743,0.9,0.99,1.3023248680042362e-05,0.7,10,256,0.8095873786047233,PRUNED
75,75,4.666666666666667,2022-03-07 02:21:06.419816,2022-03-07 02:21:31.187360,0 days 00:00:24.767544,128,0.1,0.0001912392795375809,0.9,0.99,0.0002465140489194586,0.7,10,256,0.8394251809523854,PRUNED
76,76,3.3333333333333335,2022-03-07 02:21:31.187360,2022-03-07 02:21:50.103657,0 days 00:00:18.916297,512,0.1,0.000928438731311597,0.9,0.99,2.3965116640434912e-05,0.7,1,512,0.1970567882341285,PRUNED
77,77,5.0,2022-03-07 02:21:50.103657,2022-03-07 02:22:13.981434,0 days 00:00:23.877777,128,0.3,0.0004721194697779728,0.8,0.9999,4.4874603385946545e-05,2.0,10,2048,0.5072622064343822,PRUNED
78,78,11.0,2022-03-07 02:22:13.981434,2022-03-07 02:23:13.479230,0 days 00:00:59.497796,32,0.1,0.0003121126228016575,0.98,0.95,5.657185254237893e-05,0.3,20,256,0.2617455635899104,PRUNED
79,79,1.3333333333333333,2022-03-07 02:23:13.479230,2022-03-07 02:23:32.785829,0 days 00:00:19.306599,64,0.2,0.00013855720219406334,0.99,0.999,0.00011413477040417812,0.5,1,2048,0.6714109115299599,PRUNED
80,80,-4.0,2022-03-07 02:23:32.785829,2022-03-07 02:23:55.008025,0 days 00:00:22.222196,256,0.1,0.0007123719089936118,0.95,0.995,0.0001396442361738886,0.9,10,256,0.9666638731342823,PRUNED
81,81,2.6666666666666665,2022-03-07 02:23:56.148593,2022-03-07 02:24:17.220878,0 days 00:00:21.072285,128,0.2,0.0013720313567094494,1.0,0.99,1.680025822275829e-05,1.0,5,2048,0.3643070755158244,PRUNED
82,82,7.333333333333333,2022-03-07 02:24:17.220878,2022-03-07 02:25:16.222615,0 days 00:00:59.001737,32,0.3,0.0010858770271399024,0.99,0.999,1.149355326500674e-05,5.0,20,256,0.9051867361381051,PRUNED
83,83,9.333333333333334,2022-03-07 02:25:16.222615,2022-03-07 02:25:40.271017,0 days 00:00:24.048402,256,0.2,0.0011890377257281004,0.95,0.9,9.016467638694801e-05,2.0,5,64,0.6497688206180463,PRUNED
84,84,9.666666666666666,2022-03-07 02:25:40.271017,2022-03-07 02:26:04.289271,0 days 00:00:24.018254,256,0.2,0.000859107588584421,0.95,0.9,6.881816788038175e-05,2.0,5,64,0.3097160524903126,PRUNED
85,85,1.6666666666666667,2022-03-07 02:26:04.289271,2022-03-07 02:26:28.708874,0 days 00:00:24.419603,256,0.2,0.0016118734662369538,0.95,0.9,3.2856667485892586e-05,2.0,5,64,0.6007652828127422,PRUNED
86,86,2.6666666666666665,2022-03-07 02:26:28.708874,2022-03-07 02:26:52.960573,0 days 00:00:24.251699,256,0.2,0.0006201075245234501,0.95,0.9,0.0001712734600257459,0.3,5,64,0.7001183466143563,PRUNED
87,87,-0.3333333333333333,2022-03-07 02:26:52.960573,2022-03-07 02:27:23.702575,0 days 00:00:30.742002,256,0.1,0.0005015820671574082,0.99,0.995,3.780962500547464e-05,0.7,20,128,0.7713664270669883,PRUNED
88,88,9.0,2022-03-07 02:27:23.702575,2022-03-07 02:27:43.057176,0 days 00:00:19.354601,64,0.2,0.0029519244959478634,0.9,0.99,0.0004969723734147729,1.0,1,1024,0.7534953661538141,PRUNED
89,89,4.333333333333333,2022-03-07 02:27:43.057176,2022-03-07 02:28:09.662363,0 days 00:00:26.605187,32,0.4,0.0003784384589591789,0.99,0.995,1.0003413147841673e-05,0.3,5,2048,0.7274277330658059,PRUNED
90,90,3.3333333333333335,2022-03-07 02:28:09.662363,2022-03-07 02:28:31.830771,0 days 00:00:22.168408,512,0.2,0.00033377871011517273,0.95,0.95,0.0003451594375792336,0.7,10,256,0.5382036206819739,PRUNED
91,91,-0.3333333333333333,2022-03-07 02:28:32.893276,2022-03-07 02:29:03.790224,0 days 00:00:30.896948,128,0.3,0.0005814721898988015,0.92,0.999,8.173963456065706e-05,2.0,20,512,0.045028647055144096,PRUNED
92,92,3.6666666666666665,2022-03-07 02:29:03.790224,2022-03-07 02:29:28.231154,0 days 00:00:24.440930,256,0.1,0.00026897344184549063,0.99,0.9999,0.000213557216449575,1.0,20,2048,0.4570001670432326,PRUNED
93,93,-2.6666666666666665,2022-03-07 02:29:28.231154,2022-03-07 02:29:47.051346,0 days 00:00:18.820192,256,0.4,0.00016138346847733404,0.98,0.995,1.3197836430602871e-05,0.9,1,256,0.003926271160089862,PRUNED
94,94,8.666666666666666,2022-03-07 02:29:47.051346,2022-03-07 02:30:05.935305,0 days 00:00:18.883959,256,0.4,0.00018683485576991718,0.8,0.995,1.9149267755491054e-05,0.9,1,256,0.08101832038248352,PRUNED
95,95,6.333333333333333,2022-03-07 02:30:05.935305,2022-03-07 02:30:24.742379,0 days 00:00:18.807074,256,0.4,0.0004452459535329813,0.8,0.995,2.7816545717663545e-05,0.9,1,256,0.013631532024704296,PRUNED
96,96,3.6666666666666665,2022-03-07 02:30:24.742379,2022-03-07 02:30:43.589537,0 days 00:00:18.847158,256,0.4,0.00012355166428195844,0.95,0.995,1.4416253233317649e-05,0.9,1,256,0.13137727512319297,PRUNED
97,97,12.333333333333334,2022-03-07 02:30:43.589537,2022-03-07 02:31:03.130489,0 days 00:00:19.540952,64,0.4,0.00016996939421607727,0.8,0.995,0.000133889675614841,0.3,1,256,0.2352971588764245,PRUNED
98,98,8.333333333333334,2022-03-07 02:31:03.130489,2022-03-07 02:31:38.100954,0 days 00:00:34.970465,32,0.2,0.001919093813210472,0.8,0.999,0.00042144091851420147,0.9,10,2048,0.5622804067476765,PRUNED
99,99,8.0,2022-03-07 02:31:38.100954,2022-03-07 02:31:57.125007,0 days 00:00:19.024053,256,0.1,0.00021155178248168322,0.99,0.9,0.0008467932513268929,0.7,1,256,0.7943763908057241,PRUNED
100,100,-0.3333333333333333,2022-03-07 02:31:57.125007,2022-03-07 02:32:21.142776,0 days 00:00:24.017769,128,0.4,0.0010859168499945228,0.8,0.995,1.7375710493530964e-05,0.5,5,64,0.04050250221478137,PRUNED
101,101,8.666666666666666,2022-03-07 02:32:22.220904,2022-03-07 02:32:58.484176,0 days 00:00:36.263272,64,0.2,0.0025181892404276657,0.92,0.99,0.0006235170283667141,0.3,20,2048,0.4114279327294276,PRUNED
102,102,6.333333333333333,2022-03-07 02:32:58.484176,2022-03-07 02:33:20.688852,0 days 00:00:22.204676,256,0.3,0.0007706959264736166,0.99,0.999,0.00011163563023868825,1.0,10,256,0.10145583967970788,PRUNED
103,103,-6.333333333333333,2022-03-07 02:33:20.688852,2022-03-07 02:33:39.241332,0 days 00:00:18.552480,512,0.1,0.004686830246304944,0.98,0.99,1.4690425176827402e-05,1.0,1,2048,0.3157284389443061,PRUNED
104,104,2.6666666666666665,2022-03-07 02:33:39.241332,2022-03-07 02:33:57.758598,0 days 00:00:18.517266,512,0.1,0.007337551522673989,0.98,0.99,4.755974877016579e-05,1.0,1,2048,0.18107191404447542,PRUNED
105,105,5.666666666666667,2022-03-07 02:33:57.758598,2022-03-07 02:34:16.275822,0 days 00:00:18.517224,512,0.1,0.003569395018721412,0.98,0.99,1.1303988569156097e-05,1.0,1,2048,0.26129829780379654,PRUNED
106,106,3.0,2022-03-07 02:34:16.275822,2022-03-07 02:34:54.386100,0 days 00:00:38.110278,512,0.1,0.0004260519747069291,1.0,0.99,2.4305193507925455e-05,0.7,1,2048,0.21170397166021165,COMPLETE
