,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
65,65,7.666666666666667,2022-03-07 15:28:54.826238,2022-03-07 15:30:03.712529,0 days 00:01:08.886291,,64,0.2,0.001445700308179235,1.0,0.99,7.426217157979553e-05,0.9,10,512,,0.33214345159998426,COMPLETE
66,66,7.666666666666667,2022-03-07 15:30:03.712529,2022-03-07 15:30:36.857982,0 days 00:00:33.145453,,64,0.2,0.0014573855012200772,1.0,0.99,0.0009701362803297738,0.9,10,512,,0.5759225193508939,PRUNED
67,67,2.3333333333333335,2022-03-07 15:30:36.857982,2022-03-07 15:31:09.850018,0 days 00:00:32.992036,,64,0.2,0.0010960483635457194,1.0,0.99,6.969190724901011e-05,0.9,10,512,,0.9956086644896579,PRUNED
68,68,15.666666666666666,2022-03-07 15:31:09.850018,2022-03-07 15:32:05.792217,0 days 00:00:55.942199,,64,0.1,0.0026399483195101627,1.0,0.99,8.628371735840552e-05,0.9,5,512,,0.41842082896709737,COMPLETE
69,69,5.333333333333333,2022-03-07 15:32:05.792217,2022-03-07 15:32:32.881327,0 days 00:00:27.089110,,64,0.1,0.0019908733124805052,0.99,0.99,0.00015067785621303233,0.9,5,512,,0.5148199884326685,PRUNED
70,70,4.0,2022-03-07 15:32:32.881327,2022-03-07 15:32:55.440236,0 days 00:00:22.558909,,512,0.1,0.0027307012919829056,1.0,0.9999,9.812773854337265e-05,0.9,5,512,,0.4223512509656347,PRUNED
71,71,8.0,2022-03-07 15:32:55.440236,2022-03-07 15:33:22.610238,0 days 00:00:27.170002,,64,0.1,0.004107616095551196,1.0,0.99,8.726107400575858e-05,0.9,5,512,,0.34760043660692475,PRUNED
72,72,3.6666666666666665,2022-03-07 15:33:22.610238,2022-03-07 15:33:49.601956,0 days 00:00:26.991718,,64,0.1,0.0034186951382324323,1.0,0.99,1.0110284603840068e-05,0.9,5,512,,0.2535060917855812,PRUNED
73,73,3.0,2022-03-07 15:33:50.742583,2022-03-07 15:34:36.245338,0 days 00:00:45.502755,,64,0.4,0.0024801619189793868,1.0,0.99,0.00012899320016663334,0.9,20,512,,0.4623242962597,PRUNED
74,74,2.0,2022-03-07 15:34:36.245338,2022-03-07 15:35:03.367423,0 days 00:00:27.122085,,64,0.2,0.0037755906244376783,0.98,0.99,5.540363225022354e-05,0.3,5,1024,,0.1391593440664884,PRUNED
