#{"t_start": 1646607295.5858188, "env_id": "WordleWord-v0"}
r,l,t
-5,7,45.350999
13,6,45.368001
25,1,45.371
13,6,45.390001
-12,7,45.409999
-3,6,45.428001
4,7,45.449
33,4,45.460999
12,6,45.533001
35,2,45.539001
-3,6,45.558002
-3,7,45.584999
1,6,45.609
2,6,45.629999
15,7,45.66
12,6,45.681999
27,7,45.703999
9,6,45.721999
48,6,45.740999
31,5,45.754998
7,7,45.776999
42,4,45.792998
0,7,45.820999
9,7,45.841
9,6,45.857999
4,7,45.882999
22,8,45.919999
4,7,45.957
18,6,45.975
-3,6,45.991999
4,6,46.012998
-5,6,46.043
31,4,46.054999
0,6,46.072
17,6,46.090018
-11,6,46.108999
14,6,46.152001
27,6,46.176
27,2,46.182
-3,6,46.199001
20,6,46.217
-8,6,46.233
-1,7,46.252998
3,6,46.27
21,7,46.291
3,6,46.309
3,8,46.333
9,6,46.350998
8,6,46.366999
12,6,46.384
25,1,46.387998
7,7,46.412998
6,6,46.435998
10,7,46.459999
-4,7,46.487998
9,6,46.513
-4,7,46.541998
2,6,46.563998
12,7,46.595001
7,6,46.616001
25,6,46.643
2,6,46.67
15,6,46.693998
5,6,46.712999
19,6,46.731999
8,7,46.757998
-1,6,46.777998
9,7,46.795
-4,6,46.811
15,6,46.826999
8,6,46.840998
-4,6,47.825999
-1,6,47.842999
-5,6,47.860999
22,6,47.877999
-9,6,47.898
25,1,47.902
4,6,47.922999
6,6,47.940999
17,6,47.966999
-3,8,48.009
-9,6,48.039
