#{"t_start": 1646582590.7579508, "env_id": "wordle-v0"}
r,l,t
102.0,30,30.095265
251.0,30,30.126516
87.0,30,30.14214
113.0,30,30.173388
80.0,30,30.213578
149.0,30,30.309388
51.0,30,30.356263
18.0,30,30.387512
160.0,30,30.418762
91.0,30,30.450013
69.0,30,30.481261
58.0,30,30.512512
80.0,30,30.543763
98.0,30,30.559386
98.0,30,30.590636
120.0,30,30.621889
-4.0,30,30.637513
131.0,30,30.668762
84.0,30,30.715639
91.0,30,30.731264
109.0,30,30.762515
138.0,30,30.809387
40.0,30,30.918763
51.0,30,30.950013
18.0,30,30.981262
149.0,30,31.012513
58.0,30,31.043762
109.0,30,31.075011
40.0,30,31.106264
102.0,30,31.137514
149.0,30,31.168763
91.0,30,31.200013
69.0,30,31.231262
80.0,30,31.246888
244.0,30,31.278139
156.0,30,31.309387
73.0,30,31.340637
58.0,30,31.371886
98.0,30,31.387511
87.0,30,31.496887
109.0,30,31.528137
91.0,30,31.575012
73.0,30,31.606262
91.0,30,31.637512
149.0,30,31.668765
51.0,30,31.700013
62.0,30,31.731263
109.0,30,31.746888
18.0,30,31.778137
69.0,30,31.809389
120.0,30,31.840638
73.0,30,31.871887
124.0,30,31.903142
69.0,30,31.934386
258.0,30,31.965637
120.0,30,31.99689
80.0,30,32.106263
138.0,30,32.137514
160.0,30,32.168762
69.0,30,32.200013
109.0,30,32.246886
142.0,30,32.278137
109.0,30,32.309387
80.0,30,32.325012
138.0,30,32.356262
171.0,30,32.387511
69.0,30,32.418762
51.0,30,32.450011
189.0,30,32.481264
138.0,30,32.49689
102.0,30,32.528139
36.0,30,32.559387
58.0,30,32.590637
131.0,30,32.700011
138.0,30,32.731262
95.0,30,32.762511
182.0,30,32.809387
80.0,30,32.840636
69.0,30,32.871887
73.0,30,32.903136
47.0,30,32.91876
124.0,30,32.950015
69.0,30,32.981262
29.0,30,33.012512
36.0,30,33.028138
156.0,30,33.090637
40.0,30,33.121888
98.0,30,33.137513
58.0,30,33.168761
167.0,30,33.200011
149.0,30,33.309387
51.0,30,33.340637
178.0,30,33.371888
91.0,30,33.403153
98.0,30,33.434387
120.0,30,33.465638
69.0,30,33.49689
182.0,30,33.528137
204.0,30,33.543762
120.0,30,33.575011
87.0,30,33.606261
65.0,30,33.621888
98.0,30,33.653136
29.0,30,33.684386
84.0,30,33.715636
69.0,30,33.731261
18.0,30,33.762512
109.0,30,33.871889
98.0,30,33.903149
131.0,30,33.934387
80.0,30,33.965637
98.0,30,33.996888
87.0,30,34.028137
69.0,30,34.059387
80.0,30,34.090637
91.0,30,34.121886
120.0,30,34.137511
146.0,30,34.168762
91.0,30,34.215639
80.0,30,34.246887
193.0,30,34.278138
218.0,30,34.30939
138.0,30,34.340639
102.0,30,34.371889
80.0,30,34.465637
7.0,30,34.496887
87.0,30,34.528137
62.0,30,34.575014
167.0,30,34.606262
29.0,30,34.637512
80.0,30,34.668761
178.0,30,34.700012
116.0,30,34.715637
218.0,30,34.746886
127.0,30,34.778139
18.0,30,34.809389
131.0,30,34.840636
73.0,30,34.871887
91.0,30,34.887511
109.0,30,34.918762
47.0,30,34.950011
69.0,30,35.059388
80.0,30,35.090636
91.0,30,35.121888
47.0,30,35.153137
189.0,30,35.184388
87.0,30,35.229295
69.0,30,35.26055
65.0,30,35.2918
258.0,30,35.307423
80.0,30,35.338673
80.0,30,35.369924
58.0,30,35.416799
80.0,30,35.448048
80.0,30,35.479298
80.0,30,35.510548
189.0,30,35.541799
98.0,30,35.55744
47.0,30,35.666803
91.0,30,35.69805
62.0,30,35.7293
69.0,30,35.776173
80.0,30,35.807423
160.0,30,35.838673
116.0,30,35.869924
80.0,30,35.901173
91.0,30,35.916799
18.0,30,35.94805
98.0,30,35.979299
138.0,30,36.010547
40.0,30,36.0418
80.0,30,36.07305
98.0,30,36.104301
80.0,30,36.135552
80.0,30,36.151177
18.0,30,36.198051
193.0,30,36.307423
40.0,30,36.338673
120.0,30,36.369922
36.0,30,36.401174
58.0,30,36.432425
127.0,30,36.463674
102.0,30,36.494923
80.0,30,36.526174
80.0,30,36.557425
51.0,30,36.6043
80.0,30,36.619927
131.0,30,36.651175
29.0,30,36.682423
149.0,30,36.713673
91.0,30,36.744923
131.0,30,36.776175
193.0,30,36.807426
109.0,30,36.916798
171.0,30,36.948049
51.0,30,36.9793
47.0,30,37.010549
160.0,30,37.0418
218.0,30,37.07305
109.0,30,37.104301
69.0,30,37.135551
120.0,30,37.166799
73.0,30,37.198049
109.0,30,37.229297
36.0,30,37.244921
113.0,30,37.276173
47.0,30,37.2918
113.0,30,37.323049
18.0,30,37.3543
51.0,30,37.38555
65.0,30,37.494925
109.0,30,37.526184
145.0,30,37.557424
98.0,30,37.588675
102.0,30,37.619925
69.0,30,37.651174
149.0,30,37.682425
171.0,30,37.713673
149.0,30,37.76055
80.0,30,37.776175
113.0,30,37.807424
142.0,30,37.838675
98.0,30,37.869925
80.0,30,37.901175
120.0,30,37.932424
69.0,30,37.963676
98.0,30,37.994928
80.0,30,38.104299
153.0,30,38.135549
91.0,30,38.166799
36.0,30,38.198049
127.0,30,38.229298
18.0,30,38.260548
142.0,30,38.291799
102.0,30,38.323049
58.0,30,38.354298
69.0,30,38.38555
91.0,30,38.401174
80.0,30,38.432424
29.0,30,38.463674
131.0,30,38.479298
164.0,30,38.51055
29.0,30,38.541798
109.0,30,38.57305
280.0,30,38.682424
69.0,30,38.713674
178.0,30,38.744924
171.0,30,38.776178
138.0,30,38.807423
120.0,30,38.8543
102.0,30,38.869927
69.0,30,38.901176
76.0,30,38.948051
58.0,30,38.979298
160.0,30,39.010551
113.0,30,39.0418
171.0,30,39.073049
182.0,30,39.088675
138.0,30,39.119922
189.0,30,39.151174
29.0,30,39.1668
18.0,30,39.276174
91.0,30,39.307425
131.0,30,39.338675
98.0,30,39.385549
109.0,30,39.416798
167.0,30,39.448049
58.0,30,39.4793
29.0,30,39.494924
51.0,30,39.541799
47.0,30,39.557425
138.0,30,39.588673
73.0,30,39.619923
160.0,30,39.651175
109.0,30,39.6668
73.0,30,39.698048
47.0,30,39.7293
40.0,30,39.760549
149.0,30,39.8543
18.0,30,39.885549
58.0,30,39.916799
51.0,30,39.948066
160.0,30,39.979299
149.0,30,40.010548
109.0,30,40.041799
69.0,30,40.088675
153.0,30,40.119924
58.0,30,40.135548
164.0,30,40.166799
7.0,30,40.198047
200.0,30,40.23312
51.0,30,40.254793
98.0,30,40.286043
47.0,30,40.301667
109.0,30,40.348541
91.0,30,40.442293
58.0,30,40.489167
73.0,30,40.520417
138.0,30,40.551668
171.0,30,40.582917
175.0,30,40.614167
-4.0,30,40.645418
102.0,30,40.676667
120.0,30,40.692294
7.0,30,40.723542
29.0,30,40.754793
40.0,30,40.786048
73.0,30,40.801668
178.0,30,40.832917
36.0,30,40.864167
36.0,30,40.895417
18.0,30,40.926668
18.0,30,41.020417
229.0,30,41.051666
58.0,30,41.082916
29.0,30,41.114182
80.0,30,41.145419
84.0,30,41.176669
80.0,30,41.223542
91.0,30,41.254793
251.0,30,41.286042
102.0,30,41.317292
91.0,30,41.332918
120.0,30,41.379791
204.0,30,41.411041
29.0,30,41.442293
138.0,30,41.473544
47.0,30,41.489168
58.0,30,41.520417
178.0,30,41.629793
91.0,30,41.661042
142.0,30,41.692293
95.0,30,41.723541
131.0,30,41.770418
40.0,30,41.801667
80.0,30,41.817292
131.0,30,41.848541
120.0,30,41.879793
189.0,30,41.911041
51.0,30,41.926667
69.0,30,41.957918
124.0,30,41.989166
47.0,30,42.020417
120.0,30,42.036041
178.0,30,42.067292
138.0,30,42.098543
73.0,30,42.207918
200.0,30,42.239167
102.0,30,42.270416
51.0,30,42.301667
160.0,30,42.332917
167.0,30,42.364167
167.0,30,42.411042
69.0,30,42.442292
80.0,30,42.473541
51.0,30,42.504791
18.0,30,42.53604
87.0,30,42.551669
251.0,30,42.582918
69.0,30,42.614167
51.0,30,42.645418
80.0,30,42.676668
298.0,30,42.692292
109.0,30,42.801667
58.0,30,42.832918
69.0,30,42.864167
109.0,30,42.895417
51.0,30,42.926666
160.0,30,42.957917
36.0,30,42.989168
62.0,30,43.020418
120.0,30,43.051667
120.0,30,43.067294
84.0,30,43.098542
138.0,30,43.129804
87.0,30,43.145417
69.0,30,43.176666
62.0,30,43.207916
153.0,30,43.239166
69.0,30,43.270416
178.0,30,43.364169
200.0,30,43.395417
87.0,30,43.426667
18.0,30,43.457918
91.0,30,43.489167
160.0,30,43.536044
167.0,30,43.567291
109.0,30,43.598542
131.0,30,43.629791
87.0,30,43.661042
211.0,30,43.676666
156.0,30,43.707918
51.0,30,43.739166
91.0,30,43.770419
80.0,30,43.801666
102.0,30,43.817293
160.0,30,43.848542
80.0,30,43.957918
58.0,30,43.989168
62.0,30,44.020417
189.0,30,44.051667
76.0,30,44.082917
80.0,30,44.114167
131.0,30,44.145417
98.0,30,44.176666
109.0,30,44.207916
109.0,30,44.239166
51.0,30,44.254791
