#{"t_start": 1646415598.1151147, "env_id": "wordle-v0"}
r,l,t
17.0,30,82.961511
37.0,30,83.008385
81.0,30,83.039638
-3.0,30,83.070885
53.0,30,83.102139
81.0,30,83.133386
45.0,30,83.180263
9.0,30,83.211513
69.0,30,83.242761
1.0,30,83.274012
73.0,30,83.305263
49.0,30,83.352137
53.0,30,83.39901
61.0,30,83.430262
101.0,30,83.461513
61.0,30,83.508386
57.0,30,83.539635
29.0,30,83.570887
5.0,30,83.602137
33.0,30,83.649014
69.0,30,83.680264
25.0,30,83.711514
1.0,30,83.758384
97.0,30,83.789635
69.0,30,83.820888
29.0,30,83.852136
13.0,30,83.883388
1.0,30,83.930261
21.0,30,83.96151
57.0,30,83.99276
21.0,30,84.024013
25.0,30,84.05526
1.0,30,84.086513
21.0,30,84.133387
17.0,30,84.164638
45.0,30,84.195886
5.0,30,84.227136
-3.0,30,87.05526
45.0,30,87.102137
57.0,30,87.133387
-7.0,30,87.164635
49.0,30,87.195885
57.0,30,87.242762
57.0,30,87.28096
57.0,30,87.311682
69.0,30,87.358556
109.0,30,87.405428
29.0,30,87.436678
-3.0,30,87.467927
73.0,30,87.499177
73.0,30,87.53043
69.0,30,87.561679
13.0,30,87.608554
21.0,30,87.639802
17.0,30,87.671054
13.0,30,87.702306
21.0,30,87.733554
41.0,30,87.780428
-3.0,30,87.811679
25.0,30,87.842927
101.0,30,87.889805
45.0,30,87.921053
37.0,30,87.952303
1.0,30,87.999177
37.0,30,88.030427
45.0,30,88.061679
49.0,30,88.108554
-11.0,30,88.139803
69.0,30,88.171054
77.0,30,88.202303
45.0,30,88.233556
21.0,30,88.280431
25.0,30,88.311679
117.0,30,88.342927
45.0,30,88.389802
45.0,30,88.421056
17.0,30,88.452306
29.0,30,88.499178
5.0,30,88.546055
141.0,30,88.577304
65.0,30,88.624179
13.0,30,88.655427
29.0,30,88.686679
45.0,30,88.733556
57.0,30,88.764805
13.0,30,88.796056
41.0,30,88.827305
9.0,30,88.858556
41.0,30,88.905429
1.0,30,88.936679
53.0,30,88.983557
25.0,30,89.03043
1.0,30,89.061679
85.0,30,89.108557
57.0,30,89.155431
53.0,30,89.186681
5.0,30,89.233556
45.0,30,89.280432
65.0,30,89.311679
29.0,30,89.358556
37.0,30,89.405429
57.0,30,89.43668
13.0,30,89.467931
53.0,30,89.49918
61.0,30,89.546054
17.0,30,92.749181
21.0,30,92.796052
57.0,30,92.842929
45.0,30,92.874181
37.0,30,92.921052
53.0,30,92.966434
1.0,30,93.025364
37.0,30,93.056613
29.0,30,93.103488
69.0,30,93.134736
109.0,30,93.165988
5.0,30,93.212861
33.0,30,93.244113
21.0,30,93.275361
17.0,30,93.322236
53.0,30,93.353488
21.0,30,93.384736
61.0,30,93.415987
25.0,30,93.447241
21.0,30,93.494111
49.0,30,93.525363
73.0,30,93.556612
5.0,30,93.587861
21.0,30,93.619112
89.0,30,93.650362
13.0,30,93.681613
29.0,30,93.728486
73.0,30,93.759736
29.0,30,93.790987
33.0,30,93.822236
61.0,30,93.853488
5.0,30,93.884737
41.0,30,93.915987
65.0,30,93.962861
33.0,30,93.994112
29.0,30,94.025361
53.0,30,94.056614
57.0,30,94.087862
25.0,30,94.134738
89.0,30,94.165987
53.0,30,94.21287
-3.0,30,94.259736
61.0,30,94.290986
17.0,30,94.322236
21.0,30,94.369111
89.0,30,94.400363
-3.0,30,94.431612
61.0,30,94.478485
-3.0,30,94.509736
17.0,30,94.540987
-3.0,30,94.587862
57.0,30,94.619112
33.0,30,94.650361
5.0,30,94.681611
-11.0,30,94.712861
41.0,30,94.74411
69.0,30,94.790989
17.0,30,94.822236
53.0,30,94.853487
49.0,30,94.884737
85.0,30,94.915987
1.0,30,94.947238
89.0,30,94.978487
113.0,30,95.025363
25.0,30,95.056615
61.0,30,95.087863
73.0,30,95.119111
69.0,30,95.165986
89.0,30,97.994111
65.0,30,98.025362
1.0,30,98.072239
61.0,30,98.103488
29.0,30,98.134738
37.0,30,98.197239
105.0,30,98.230068
9.0,30,98.261322
61.0,30,98.308197
1.0,30,98.339445
85.0,30,98.370697
33.0,30,98.417572
37.0,30,98.44882
29.0,30,98.480071
89.0,30,98.511322
-7.0,30,98.54257
37.0,30,98.589445
1.0,30,98.620695
21.0,30,98.651946
101.0,30,98.683195
17.0,30,98.714447
9.0,30,98.745695
21.0,30,98.776946
53.0,30,98.823823
